title,price_gbp,rating,in_stock,category,price_inr
It's Only the Himalayas,45.17,2,True,Travel,4765.435
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,True,Travel,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,True,Travel,5155.785
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,True,Travel,3897.1699999999996
Under the Tuscan Sun,37.33,3,True,Travel,3938.3149999999996
A Summer In Europe,44.34,2,True,Travel,4677.870000000001
The Great Railway Bazaar,30.54,1,True,Travel,3221.97
A Year in Provence (Provence #1),56.88,4,True,Travel,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,True,Travel,2448.655
Neither Here nor There: Travels in Europe,38.95,3,True,Travel,4109.225
"1,000 Places to See Before You Die",26.08,5,True,Travel,2751.4399999999996
Sharp Objects,47.82,4,True,Mystery,5045.01
"In a Dark, Dark Wood",19.63,1,True,Mystery,2070.9649999999997
The Past Never Ends,56.5,4,True,Mystery,5960.75
A Murder in Time,16.64,1,True,Mystery,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True,Mystery,4652.55
The Last Mile (Amos Decker #2),54.21,2,True,Mystery,5719.155
That Darkness (Gardiner and Renner #1),13.92,1,True,Mystery,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True,Mystery,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,5,True,Mystery,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,2,True,Mystery,1765.015
Poisonous (Max Revere Novels #3),26.8,3,True,Mystery,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True,Mystery,5734.98
Most Wanted,35.28,3,True,Mystery,3722.04
Hide Away (Eve Duncan #20),11.84,1,True,Mystery,1249.12
Boar Island (Anna Pigeon #19),59.48,3,True,Mystery,6275.139999999999
The Widow,27.26,2,True,Mystery,2875.9300000000003
Playing with Fire,13.71,3,True,Mystery,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,True,Mystery,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,True,Mystery,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,True,Mystery,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,True,Mystery,2616.4
In the Woods (Dublin Murder Squad #1),38.38,2,True,Mystery,4049.09
The Silkworm (Cormoran Strike #2),23.05,5,True,Mystery,2431.775
The Exiled,43.45,3,True,Mystery,4583.975
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,True,Mystery,2026.6550000000002
Extreme Prey (Lucas Davenport #26),25.4,3,True,Mystery,2679.7
Career of Evil (Cormoran Strike #3),24.72,2,True,Mystery,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,True,Mystery,6087.35
The Girl You Lost,12.29,5,True,Mystery,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),15.85,3,True,Mystery,1672.175
Blood Defense (Samantha Brinkman #1),20.3,3,True,Mystery,2141.65
1st to Die (Women's Murder Club #1),53.98,1,True,Mystery,5694.889999999999
Chase Me (Paris Nights #2),25.27,5,True,Romance,2665.985
Black Dust,34.53,5,True,Romance,3642.915
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True,Romance,3583.835
First and First (Five Boroughs #3),15.97,4,True,Romance,1684.835
Fifty Shades Darker (Fifty Shades #2),21.96,1,True,Romance,2316.78
The Wedding Dress,24.12,1,True,Romance,2544.6600000000003
Suddenly in Love (Lake Haven #1),55.99,2,True,Romance,5906.945000000001
Something More Than This,16.24,4,True,Romance,1713.32
Doing It Over (Most Likely To #1),35.61,3,True,Romance,3756.855
The Wedding Pact (The O'Malleys #2),32.61,3,True,Romance,3440.355
Hold Your Breath (Search and Rescue #1),28.82,1,True,Romance,3040.51
Dirty (Dive Bar #1),40.83,4,True,Romance,4307.565
Take Me Home Tonight (Rock Star Romance #3),53.98,3,True,Romance,5694.889999999999
Off the Hook (Fishing for Trouble #1),47.67,3,True,Romance,5029.185
A Gentleman's Position (Society of Gentlemen #3),14.75,5,True,Romance,1556.125
"Sit, Stay, Love",20.9,3,True,Romance,2204.95
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,True,Romance,3302.15
The Perfect Play (Play by Play #1),59.99,3,True,Romance,6328.945000000001
Dark Lover (Black Dagger Brotherhood #1),12.87,1,True,Romance,1357.7849999999999
Changing the Game (Play by Play #2),13.38,3,True,Romance,1411.5900000000001
A Walk to Remember,56.43,1,True,Romance,5953.365
The Purest Hook (Second Circle Tattoos #3),12.25,1,True,Romance,1292.375
The Obsession,45.43,1,True,Romance,4792.865
Reservations for Two,11.1,3,True,Romance,1171.05
Best of My Love (Fool's Gold #20),27.41,2,True,Romance,2891.755
Where Lightning Strikes (Bleeding Stars #3),39.77,3,True,Romance,4195.735000000001
This One Moment (Pushing Limits #1),48.71,1,True,Romance,5138.905
"Rhythm, Chord & Malykhin",28.34,2,True,Romance,2989.87
My Perfect Mistake (Over the Top #1),38.92,2,True,Romance,4106.06
Listen to Me (Fusion #1),58.99,3,True,Romance,6223.445000000001
Imperfect Harmony,34.74,4,True,Romance,3665.07
Fighting Fate (Fighting #6),39.24,3,True,Romance,4139.820000000001
Deep Under (Walker Security #1),47.09,5,True,Romance,4967.995000000001
Charity's Cross (Charles Towne Belles #4),41.24,1,True,Romance,4350.820000000001
Bounty (Colorado Mountain #7),37.26,4,True,Romance,3930.93
